key,name,date,value
3,Calumet Heights,1999,2657890
3,Calumet Heights,2000,3494284
3,Calumet Heights,2001,3888954
6,Chatham,1990,2602776
6,Chatham,1991,2595315
6,Chatham,1992,2410431
6,Chatham,1993,2254110
6,Chatham,1994,2938611
6,Chatham,1995,4369193
6,Chatham,1996,4712370
6,Chatham,1997,3441479
6,Chatham,1998,2562921
6,Chatham,1999,2792487
6,Chatham,2000,3932771
6,Chatham,2001,4376843
8,Chicago Lawn,1990,3818555
8,Chicago Lawn,1991,3877230
8,Chicago Lawn,1992,3651115
8,Chicago Lawn,1993,3400398
8,Chicago Lawn,1994,4235006
8,Chicago Lawn,1995,6084527
8,Chicago Lawn,1996,6913320
8,Chicago Lawn,1997,6100553
8,Chicago Lawn,1998,4208690
8,Chicago Lawn,1999,3992896
8,Chicago Lawn,2000,5497254
8,Chicago Lawn,2001,6758752
2,Clearing,1990,2971028
2,Clearing,1991,2845375
2,Clearing,1992,2620741
2,Clearing,1993,2663097
2,Clearing,1994,3811635
2,Clearing,1995,5848845
2,Clearing,1996,7103045
2,Clearing,1997,5869274
2,Clearing,1998,3549871
2,Clearing,1999,2943445
2,Clearing,2000,3802247
2,Clearing,2001,4644718
4,Douglas,1990,205570
4,Douglas,1991,223271
4,Douglas,1992,232212
4,Douglas,1993,212802
4,Douglas,1994,221345
4,Douglas,1995,274823
4,Douglas,1996,405623
4,Douglas,1997,386517
4,Douglas,1998,290081
4,Douglas,1999,244529
4,Douglas,2000,280536
4,Douglas,2001,376769
2,Dunning,1990,4974358
2,Dunning,1991,4924720
2,Dunning,1992,4875524
2,Dunning,1993,4910954
2,Dunning,1994,7129643
2,Dunning,1995,11080824
2,Dunning,1996,12664230
2,Dunning,1997,9243593
2,Dunning,1998,5737818
2,Dunning,1999,5265624
2,Dunning,2000,7994275
2,Dunning,2001,9096152
8,East Garfield Park,1990,288485
8,East Garfield Park,1991,356702
8,East Garfield Park,1992,367543
8,East Garfield Park,1993,353220
8,East Garfield Park,1994,386055
8,East Garfield Park,1995,455603
8,East Garfield Park,1996,603608
8,East Garfield Park,1997,596187
8,East Garfield Park,1998,531927
8,East Garfield Park,1999,404218
8,East Garfield Park,2000,513719
8,East Garfield Park,2001,682082
6,East Side,1990,1824559
6,East Side,1991,1865146
6,East Side,1992,1717434
6,East Side,1993,1809000
6,East Side,1994,2853422
6,East Side,1995,4207203
6,East Side,1996,4532516
6,East Side,1997,3067535
6,East Side,1998,2097517
6,East Side,1999,2108661
6,East Side,2000,3026865
6,East Side,2001,2948448
1,Edgewater,1990,997214
1,Edgewater,1991,979511
1,Edgewater,1992,894805
1,Edgewater,1993,972340
1,Edgewater,1994,1311449
1,Edgewater,1995,1929889
1,Edgewater,1996,1892274
1,Edgewater,1997,1438660
1,Edgewater,1998,1046163
1,Edgewater,1999,1037334
1,Edgewater,2000,1652946
1,Edgewater,2001,1546951
0,Edison Park,1990,1459743
0,Edison Park,1991,1534699
0,Edison Park,1992,1599379
0,Edison Park,1993,1830382
0,Edison Park,1994,2562310
0,Edison Park,1995,3783283
0,Edison Park,1996,4041732
0,Edison Park,1997,2574719
0,Edison Park,1998,1651591
0,Edison Park,1999,1923201
0,Edison Park,2000,2550580
0,Edison Park,2001,2639057
9,Englewood,1990,1053336
9,Englewood,1991,1108773
9,Englewood,1992,1092184
9,Englewood,1993,1015849
9,Englewood,1994,1128511
9,Englewood,1995,1478326
9,Englewood,1996,1706081
9,Englewood,1997,1575149
9,Englewood,1998,1187933
9,Englewood,1999,1282526
9,Englewood,2000,1744779
9,Englewood,2001,2121136
1,Forest Glen,1990,3356189
1,Forest Glen,1991,3469286
1,Forest Glen,1992,3139434
1,Forest Glen,1993,3454316
1,Forest Glen,1994,5021566
1,Forest Glen,1995,7605882
1,Forest Glen,1996,7388496
1,Forest Glen,1997,5066595
1,Forest Glen,1998,3256558
1,Forest Glen,1999,3741983
1,Forest Glen,2000,5641992
1,Forest Glen,2001,5543172
9,Fuller Park,1990,140084
9,Fuller Park,1991,140909
9,Fuller Park,1992,131239
9,Fuller Park,1993,129811
9,Fuller Park,1994,143283
9,Fuller Park,1995,163478
9,Fuller Park,1996,203213
9,Fuller Park,1997,210063
